id1	id2	type
510490	TRIM37	UBE2C	PPI
512541	ELOB	UBE2C	PPI
515873	CREBBP	ESR1	PPI
516160	CREBBP	MYC	PPI
516846	MGRN1	UBE2C	PPI
518111	UBE2C	WSB1	PPI
521312	SMURF2	UBE2C	PPI
524214	ESR1	GNAO1	PPI
529172	CCNE1	CDK6	PPI
529179	CCNE1	CDK2	PPI
529188	CCNE1	RB1	PPI
529200	CCNE1	RPS27A	PPI
529210	CCNE1	SKP2	PPI
529220	CCNE1	CCT6A	PPI
529233	CCNE1	CCT5	PPI
529242	CCNE1	CCT8	PPI
529251	CCNE1	CCT3	PPI
529258	CCNE1	ORC5	PPI
529259	CCNE1	CCT2	PPI
529260	CCNE1	CDT1	PPI
529271	CCNE1	UBB	PPI
529279	CCNE1	CKS1B	PPI
529295	CCNE1	TCP1	PPI
529304	CCNE1	CUL1	PPI
529313	CCNE1	CCT6B	PPI
529358	CCNE1	ORC1	PPI
529374	CCNE1	RBL1	PPI
529389	CCNE1	TFDP1	PPI
529398	CCNE1	PCNA	PPI
529399	CCNE1	E2F4	PPI
529420	CCNE1	CCT4	PPI
529423	CCNE1	CDK1	PPI
529439	CCNE1	CDKN1A	PPI
529450	CCNE1	UBA52	PPI
529460	CCNE1	E2F5	PPI
529486	CCNE1	CDK3	PPI
529516	CCNE1	CCNE2	PPI
529526	CCNE1	UBC	PPI
529531	CCNE1	ORC4	PPI
529533	CCNE1	PTK6	PPI
532479	ESR1	PIK3R3	PPI
534493	COPE	KIF2C	PPI
538134	HACE1	UBE2C	PPI
540245	ARPC1A	EGFR	PPI
543874	ERBB2	GAB1	PPI
543884	EGFR	GAB1	PPI
543912	FGFR4	GAB1	PPI
545751	BLVRA	MAPK3	PPI
549159	CAPZA1	KIF2C	PPI
549663	KIF18A	NUF2	PPI
549811	BIRC5	KIF18A	PPI
550123	CENPF	KIF18A	PPI
550194	KIF18A	KIF2C	PPI
550202	CDC20	KIF18A	PPI
552626	CDC20	UBE2R2	PPI
553563	ACTR3	EGFR	PPI
555281	EGFR	PACSIN2	PPI
556658	EP300	PGR	PPI
557622	EP300	ESR1	PPI
557973	EP300	MYC	PPI
558681	AP2S1	EGFR	PPI
561681	BLVRA	BLVRB	PPI
562967	EGFR	NOTCH3	PPI
564922	BCL2	C9	PPI
565077	BCL2	C6	PPI
573549	CLASP1	NUF2	PPI
573716	BIRC5	CLASP1	PPI
574088	CENPF	CLASP1	PPI
574172	CLASP1	KIF2C	PPI
574181	CDC20	CLASP1	PPI
575355	NUF2	SGO1	PPI
575473	BIRC5	SGO1	PPI
575711	CENPF	SGO1	PPI
575753	KIF2C	SGO1	PPI
575761	CDC20	SGO1	PPI
576920	ESR1	KAT2B	PPI
582279	EGFR	STAM2	PPI
583182	ESR1	STRN	PPI
584868	LNX1	UBE2C	PPI
586769	ERBB2	PIK3CA	PPI
586782	EGFR	PIK3CA	PPI
586834	FGFR4	PIK3CA	PPI
587505	ESR1	PIK3CA	PPI
588034	MYC	TAF12	PPI
589002	CDH3	CTNNA1	PPI
589012	CDH3	CTNNB1	PPI
589021	CDH3	JUP	PPI
589032	CDH3	CTNND1	PPI
589816	ARCN1	KIF2C	PPI
590573	CBL	EGFR	PPI
590623	CBL	FGFR4	PPI
594213	ATF2	ESR1	PPI
594664	CBLB	EGFR	PPI
595212	CBLB	UBE2C	PPI
603045	HERC6	UBE2C	PPI
604277	HERC5	UBE2C	PPI
606414	BIRC5	CUL3	PPI
606915	CUL3	UBE2C	PPI
609707	FGF2	FGFR4	PPI
612259	UBE2C	UBE2S	PPI
612464	CDC20	UBE2S	PPI
614550	MLPH	RAB27A	PPI
614892	ESR1	HDAC4	PPI
615635	ASB1	UBE2C	PPI
620506	EGFR	STAT3	PPI
622099	FBXL20	UBE2C	PPI
623722	DNMT3A	MYC	PPI
638356	EXO1	MSH3	PPI
639811	FBXW11	UBE2C	PPI
642663	CENPE	NUF2	PPI
642812	BIRC5	CENPE	PPI
643107	CENPE	CENPF	PPI
643186	CENPE	KIF2C	PPI
643194	CDC20	CENPE	PPI
644379	EGF	ERBB2	PPI
644423	EGF	EGFR	PPI
646086	NUF2	SPDL1	PPI
646194	BIRC5	SPDL1	PPI
646410	CENPF	SPDL1	PPI
646459	KIF2C	SPDL1	PPI
646467	CDC20	SPDL1	PPI
647036	BCL2	VDAC1	PPI
648354	CDC20	UBE2B	PPI
652045	EXO1	NBN	PPI
660204	EXO1	LOC107984056	PPI
663405	EGFR	PIK3C2A	PPI
667665	FBXO7	UBE2C	PPI
673959	CDK2	UBE2C	PPI
674078	CDC20	CDK2	PPI
676709	ERBB2	ERBB3	PPI
676734	EGFR	ERBB3	PPI
677327	KRT17	KRT71	PPI
681611	FANCM	UBE2T	PPI
686951	CDC20	UBE2Q2	PPI
687475	BCL2	BCL2A1	PPI
689132	MYC	PML	PPI
694664	IRF8	MYC	PPI
696929	BCL2	RPL3P2	PPI
697720	ESR1	NCOR1	PPI
698840	KIF2B	NUF2	PPI
698993	BIRC5	KIF2B	PPI
699302	CENPF	KIF2B	PPI
699372	KIF2B	KIF2C	PPI
699380	CDC20	KIF2B	PPI
703640	BCL2	TP53	PPI
